osmid,y,x,street_count,highway,ref,railway,geometry
65316336,37.7148515,-122.4703659,3,,,,POINT (-122.4703659 37.7148515)
65316342,37.7142914,-122.4697766,5,,,,POINT (-122.4697766 37.7142914)
65316798,37.7174496,-122.4777485,3,,,,POINT (-122.4777485 37.7174496)
65316801,37.7175028,-122.4781241,3,,,,POINT (-122.4781241 37.7175028)
65316806,37.7179039,-122.4786707,3,,,,POINT (-122.4786707 37.7179039)
65316813,37.7184783,-122.4786543,3,,,,POINT (-122.4786543 37.7184783)
65316818,37.7186772,-122.4781255,3,,,,POINT (-122.4781255 37.7186772)
65316820,37.718581,-122.4777494,3,,,,POINT (-122.4777494 37.718581)
65316821,37.7183039,-122.4773582,3,,,,POINT (-122.4773582 37.7183039)
65316823,37.7180142,-122.4771928,3,,,,POINT (-122.4771928 37.7180142)
65316826,37.7177277,-122.4772543,3,,,,POINT (-122.4772543 37.7177277)
65316829,37.7175718,-122.4774093,3,,,,POINT (-122.4774093 37.7175718)
65316976,37.721668,-122.466588,3,,,,POINT (-122.466588 37.721668)
65317020,37.7095879,-122.4688552,1,,,,POINT (-122.4688552 37.7095879)
65317270,37.7346298,-122.4793951,3,traffic_signals,,,POINT (-122.4793951 37.7346298)
65317279,37.7354218,-122.4824326,3,,,,POINT (-122.4824326 37.7354218)
65317286,37.7352803,-122.4841512,3,,,,POINT (-122.4841512 37.7352803)
65317294,37.7350016,-122.4860765,3,,,,POINT (-122.4860765 37.7350016)
65317305,37.7351752,-122.4884675,3,,,,POINT (-122.4884675 37.7351752)
65317312,37.7356208,-122.4902601,3,,,,POINT (-122.4902601 37.7356208)
65318451,37.7228348,-122.4692691,3,,,,POINT (-122.4692691 37.7228348)
65318455,37.723185,-122.4701965,3,,,,POINT (-122.4701965 37.723185)
65318460,37.7237456,-122.4718684,4,,,,POINT (-122.4718684 37.7237456)
65318464,37.7237556,-122.4721618,3,,,,POINT (-122.4721618 37.7237556)
65318544,37.7425834,-122.4864249,4,,,,POINT (-122.4864249 37.7425834)
65318546,37.7407174,-122.4862945,4,,,,POINT (-122.4862945 37.7407174)
65318549,37.7388571,-122.4861644,3,,,,POINT (-122.4861644 37.7388571)
65319467,37.7319426,-122.4931444,4,,,,POINT (-122.4931444 37.7319426)
65319491,37.7292454,-122.4912927,3,,,,POINT (-122.4912927 37.7292454)
65319493,37.729774,-122.4907583,4,,,,POINT (-122.4907583 37.729774)
65319504,37.7305434,-122.4889749,3,,,,POINT (-122.4889749 37.7305434)
65319506,37.7298083,-122.4865468,3,,,,POINT (-122.4865468 37.7298083)
65319692,37.7277615,-122.4673001,4,,,,POINT (-122.4673001 37.7277615)
65319707,37.7270665,-122.4692688,4,,,,POINT (-122.4692688 37.7270665)
65319828,37.7439598,-122.4725528,3,,,,POINT (-122.4725528 37.7439598)
65319846,37.7431967,-122.4725001,4,,,,POINT (-122.4725001 37.7431967)
65319849,37.7413315,-122.4723694,4,,,,POINT (-122.4723694 37.7413315)
65319853,37.7394651,-122.4722386,4,,,,POINT (-122.4722386 37.7394651)
65320136,37.742489,-122.4885672,4,,,,POINT (-122.4885672 37.742489)
65320139,37.7406228,-122.4884364,4,,,,POINT (-122.4884364 37.7406228)
65320154,37.7376411,-122.488435,3,,,,POINT (-122.488435 37.7376411)
65320234,37.7417305,-122.5069699,3,,,,POINT (-122.5069699 37.7417305)
65320239,37.7398173,-122.5066893,3,stop,,,POINT (-122.5066893 37.7398173)
65320241,37.7379584,-122.5064642,3,stop,,,POINT (-122.5064642 37.7379584)
65320244,37.7355774,-122.5061475,3,,,,POINT (-122.5061475 37.7355774)
65320327,37.7252371,-122.5030827,3,,,,POINT (-122.5030827 37.7252371)
65320652,37.710659,-122.4704392,4,,,,POINT (-122.4704392 37.710659)
65320655,37.7106588,-122.4710829,3,,,,POINT (-122.4710829 37.7106588)
65321779,37.7245839,-122.4734459,3,,,,POINT (-122.4734459 37.7245839)
65321791,37.7214096,-122.4736636,4,,,,POINT (-122.4736636 37.7214096)
65321796,37.7199723,-122.4736276,3,,,,POINT (-122.4736276 37.7199723)
65321802,37.7187415,-122.4728111,3,,,,POINT (-122.4728111 37.7187415)
65321805,37.7185356,-122.4726145,3,,,,POINT (-122.4726145 37.7185356)
65322025,37.7272234,-122.4666681,6,traffic_signals,,,POINT (-122.4666681 37.7272234)
65322161,37.7417338,-122.505709,4,stop,,,POINT (-122.505709 37.7417338)
65322163,37.7398664,-122.5055788,4,stop,,,POINT (-122.5055788 37.7398664)
65322168,37.7355613,-122.5052772,4,traffic_signals,,,POINT (-122.5052772 37.7355613)
65322468,37.7324369,-122.4818932,4,,,,POINT (-122.4818932 37.7324369)
65322480,37.7427248,-122.4832129,4,,,,POINT (-122.4832129 37.7427248)
65322482,37.7408591,-122.4830825,4,,,,POINT (-122.4830825 37.7408591)
65324074,37.73182,-122.4678605,4,stop,,,POINT (-122.4678605 37.73182)
65324083,37.729609,-122.4686302,3,,,,POINT (-122.4686302 37.729609)
65325172,37.7276253,-122.4716858,3,,,,POINT (-122.4716858 37.7276253)
65325177,37.7278896,-122.4710605,1,turning_circle,,,POINT (-122.4710605 37.7278896)
