u,v
65340939,65287746
65340939,65329602
65340939,65341614
65340947,65287763
65340947,65353311
65340947,65316123
65340947,65340952
65340952,65340947
65340952,65340956
65340952,65287766
65340952,65351697
65340956,65342686
65340956,65329919
65340956,4035920524
65340956,65340952
65340959,65340962
65340959,65287857
65340959,65299698
65340959,65353313
65340962,65340959
65340962,65353316
65340962,4034195443
65340962,258916766
65340964,65287878
65340964,65341569
65340964,65340967
65340964,65329583
65340967,65340970
65340967,65340964
65340967,65287879
65340967,65350553
65340970,65340967
65340970,65342744
65340970,65330013
65340972,65340973
65340972,65297028
65340972,12116268953
65340972,65353320
65340973,65287895
65340973,65353322
65340973,65309776
65340973,65340972
65341568,65341569
65341568,12116291923
65341568,12116291923
65341568,65329578
65341568,65295177
65341569,65329581
65341569,65340964
65341569,65341568
65341569,65350553
65341574,65350556
65341574,65329585
65341574,65372728
65341574,65287878
65341610,258757445
65341610,65329597
65341610,12195577866
65341610,12195577835
65341614,258757446
65341614,65329600
65341614,12195577866
65341614,65340939
65342004,1711226144
65342004,65342015
65342004,65355106
65342015,65326405
65342015,65324083
65342015,65342004
65342038,65342045
65342038,6325970951
65342045,65358646
65342045,2315778415
65342049,65358721
65342049,65310894
65342049,388001187
65342049,388001178
65342051,65340889
65342051,258757451
65342051,65310894
65342056,65359424
65342056,65342058
65342056,65359421
65342056,65316146
65342058,65342062
65342058,65342056
65342058,4062847005
65342058,258922152
65342062,4062847057
65342062,65342715
65342062,4062846066
65342062,65342058
65342069,4062434369
65342069,4062434365
65342069,65342071
65342069,65299193
65342071,4062434370
65342071,4062434364
65342071,65342074
65342071,65342069
65342074,4062434375
65342074,4062434363
65342074,65342076
65342074,65342071
65342076,65342081
65342076,65342074
65342076,65348517
65342076,65348521
65342081,65362314
65342081,4062452044
65342081,65342084
65342081,65342076
65342084,65347558
65342084,4062468479
65342084,65342088
65342084,65342081
65342088,65364264
65342088,4062775036
65342088,65342084
65342088,65362323
65342098,65362333
65342098,65282123
65342098,65342101
65342098,4062775050
65342101,65319491
65342101,65282123
65342101,65319467
65342101,65342098
65342106,4064695830
65342106,65343306
65342106,4062434371
65342106,65289573
65342682,6356743334
65342682,12195577841
65342682,6356743350
65342682,6356743341
65342686,65329911
65342686,65351697
65342686,65340956
65342686,6356743334
65342715,65342062
65342715,258922152
65342742,65342744
65342742,65295181
65342742,12116291923
65342742,12116291923
65342742,11268318786
65342742,11268318793
65342744,65340970
65342744,65342742
65342744,65330010
65342744,65350553
65342811,65342814
65342811,65308198
65342811,65311377
65342814,65342811
65342995,65337329
65342995,12717144900
65342995,65307563
65343306,4064695882
65343306,4064695830
65343306,65342106
65343306,356705879
65344130,6357368670
65344130,65349389
65344130,65335451
